,name,featureType,plateId,points
0,Trans North China Orogen,UnclassifiedFeature,601,"{39.2348120768,112.0797133343},{39.8864225904,113.0444566038},{40.1759454588,113.4529972931},{40.7504392431,114.5987777232},{41.0647229998,115.0607504841},{41.1908400054,115.3221179101},{41.5431230612,115.8189099946},{41.7844723107,116.0389654066},{42.2554802766,116.3339511982},{42.321721902,116.4686628775},{42.3452693981,116.5303019113},{42.3367249908,116.9843915813},{42.3644732173,119.1821569064},{42.2211331246,120.4123710864},{42.210646268,120.750926572},{41.790468341,120.058313011},{41.5997577346,119.6229380266},{41.365680477,119.2122288151},{41.0504688094,118.9029743792},{40.9992799818,118.6378410265},{40.8848010764,118.385916895},{40.8452014885,117.812263148},{40.842228775,117.4103256906},{40.7151006642,116.9481795954},{40.5634727412,116.5578250685},{40.3450915166,116.1868748592},{40.0048848474,115.7583466896},{39.7449319758,115.5420381457},{39.3513535472,115.2319276268},{38.8502784411,114.8957979945},{38.5423115864,114.6545304821},{38.0683224737,114.5112098678},{34.9579540271,114.3151107901},{32.0235247861,114.2475124275},{32.2762933023,113.6932390076},{32.9038864016,112.6144087568},{33.5047571463,111.0823721789},{33.7763232192,110.0782008146},{33.7933022614,109.5906899092},{33.920444364,108.77734345},{33.925663878,108.765615598},{34.122948173,109.0473884909},{34.3253764134,109.3663920151},{34.7086667657,109.8919337517},{35.2699439478,110.3783330863},{36.212864248,110.862817335},{37.632265489,111.0132617776},{38.2827215954,111.1759617353},{38.726588201,111.3870989089},{39.2348120768,112.0797133343}"
1,Jiao-Liao-Li Belt,UnclassifiedFeature,601,"{36.6773889023,119.2561937034},{37.685451241,120.2434661726},{38.4357890773,120.7345596065},{39.1627700427,121.1203027808},{39.6859756523,121.4607923206},{40.5275908349,122.1558406482},{40.9640679989,123.0373847389},{41.0306861906,124.2472424893},{41.5885402206,125.5574145547},{42.1274996305,126.8334114313},{42.1343477391,127.2935493991},{41.7809118822,128.1427579341},{40.527671493,129.55790708},{39.96236765,128.714965961},{40.4497785152,128.5552766561},{41.2034940845,128.1552402362},{41.405670381,127.7459089629},{41.4424055329,127.3151987928},{41.3295950896,126.6328789795},{41.185876503,126.3186870206},{41.0934420136,126.2160497154},{40.9475273327,125.9933386743},{40.8428096787,125.8020436157},{40.549821476,125.210300222},{40.383472712,124.890934724},{40.2396690105,124.5734557882},{40.1813348164,124.2164760653},{40.1680477216,123.8517459764},{39.9837340857,123.2461954557},{39.9488032774,122.5640572702},{39.8022605794,122.0030309932},{39.2948444861,121.778531354},{38.8153488819,121.7021067339},{38.2034733046,121.5853262546},{37.4287347868,121.4984974605},{36.530604328,120.3696376951},{36.0061336543,119.6832363097},{35.3911506053,118.7152943616},{35.549704321,118.707305201},{35.8178867074,118.8497854564},{36.0310705011,119.0647642035},{36.6773889023,119.2561937034}"
2,Eastern Block,UnclassifiedFeature,601,"{41.990001684,130.470000937},{41.810001597,130.210006873},{41.558849625,129.993941961},{41.369728791,129.899399115},{41.283541476,129.881641248},{41.130001503,129.850006169},{40.861110783,129.864135997},{40.749999612,129.880005036},{40.527671493,129.55790708},{41.7809118822,128.1427579341},{42.1343477391,127.2935493991},{42.1274996305,126.8334114313},{41.5885402206,125.5574145547},{41.0306861906,124.2472424893},{40.9640679989,123.0373847389},{40.5275908349,122.1558406482},{39.6859756523,121.4607923206},{39.1627700427,121.1203027808},{38.4357890773,120.7345596065},{37.685451241,120.2434661726},{36.6773889023,119.2561937034},{36.0310705011,119.0647642035},{35.8178867074,118.8497854564},{35.549704321,118.707305201},{35.3911506053,118.7152943616},{35.3034641769,118.6552663408},{34.599363976,118.5303525617},{34.1764097655,118.3008100126},{33.748541261,118.0848028547},{32.9323438954,118.0101905276},{32.6161390625,117.9222888976},{32.1350289987,117.7814459011},{31.986112173,117.73103406},{31.7660057268,117.5965057581},{31.5775708517,117.4583389892},{31.4237934549,117.3117950591},{31.38994389,117.287613136},{31.4145863,117.112837925},{31.427234391,117.023131899},{31.4957537401,116.6051967503},{31.6594197361,116.132484072},{31.7557534314,115.8262427214},{31.8048228383,115.5255640808},{31.7818797223,115.2925670769},{31.830114664,115.034391112},{31.879789037000002,114.8697683947},{31.9529138912,114.487644868},{32.0235247861,114.2475124275},{34.9579540271,114.3151107901},{38.0683224737,114.5112098678},{38.5423115864,114.6545304821},{38.8502784411,114.8957979945},{39.3513535472,115.2319276268},{39.7449319758,115.5420381457},{40.0048848474,115.7583466896},{40.3450915166,116.1868748592},{40.5634727412,116.5578250685},{40.7151006642,116.9481795954},{40.842228775,117.4103256906},{40.8452014885,117.812263148},{40.8848010764,118.385916895},{40.9992799818,118.6378410265},{41.0504688094,118.9029743792},{41.365680477,119.2122288151},{41.5997577346,119.6229380266},{41.790468341,120.058313011},{42.210646268,120.750926572},{42.3128748893,121.0655357775},{42.4096503449,121.3993006358},{42.4578268617,121.8625879449},{42.5044728001,122.69333726},{42.67167301,123.5239789509},{42.6437172844,123.6777354418},{42.6107368522,124.1251864926},{43.0538706251,124.7093994814},{42.8202519614,125.2997197882},{42.7818281613,125.4561303689},{42.7633303259,126.3198397512},{43.1877827193,127.2135035553},{43.1066672138,127.5000545385},{43.0526628706,127.6526709412},{42.9361547906,127.8713945505},{42.903488486,128.1668120148},{42.9005693555,128.494852116},{42.8591725876,128.7026165998},{42.6926743732,129.1846874474},{42.5107000157,129.672762553},{42.3939250246,129.7946361067},{42.4257972573,130.0457758994},{42.4719882472,130.2308620405},{42.3212487099,130.1976939977},{41.990001684,130.470000937}"
3,Ala Shan,ClosedContinentalBoundary,451,"{40.4621276756,104.7254346392},{40.1789701727,103.4018763022},{40.0402076582,102.4170342327},{39.9981210846,101.4924801066},{40.1236455493,100.5334092497},{40.2049166494,99.9068052142},{40.2020924918,99.1545021183},{40.0263993712,97.6791426541},{39.8752253717,97.6696317304},{39.7618198073,97.6776396776},{39.904671312,97.069605067},{39.932417122,96.188675609},{39.856116145,95.834916536},{39.453801905,94.322769908},{39.349755119,93.448776903},{39.149057435,92.311921541},{38.806573551,91.145335811},{38.699547337,90.567394257},{38.549710638,89.957344839},{38.389171317,89.390105906},{38.311071885,88.890228133},{38.309285402,88.878793691},{38.581859039,89.747506547},{38.828847474,90.340278792},{39.14993244,91.031846409},{39.569812779,91.451726749},{40.014391963,91.822209402},{40.681260738,92.464379333},{41.378982544,90.647109985},{41.493835449,90.118705749},{41.571647644,89.840881348},{41.818324973,89.233890495},{42.134010315,88.522590638},{42.292034149,88.239318847},{42.551818933,87.566938182},{42.565342744,87.337033406},{42.673533227,86.485033354},{42.768199899,86.052271422},{42.990757991,84.38231466},{43.093794253,84.874516842},{43.229649152,85.762327125},{43.383255738,86.351327036},{43.504362539,86.927750283},{43.603819975,87.226715788},{43.689535728,87.484374282},{43.880361949,87.87369636},{43.959903929,88.309436776},{43.91401988,88.826934704},{43.809286143,89.306035064},{43.812234526,89.877334059},{44.137310404,91.008899788},{44.453609494,91.887394632},{44.646486904,92.868855096},{44.902094166,93.700499914},{44.900922633,93.862035076},{44.733943355,94.801940009},{44.368903995,97.459934005},{44.393694375,97.512767102},{44.082826841,98.773247745},{43.820740716,100.093794388},{43.805115479,100.215461711},{43.765118019,101.520801697},{43.700907645,102.741660429},{43.566282503,103.449070099},{43.382079528,104.157353645},{43.122912539,104.9035838},{42.581380424,105.980276579},{42.479254273,106.217679697},{42.458652832,106.301411512},{42.3751586358,106.3511756088},{42.2060389073,106.3289820342},{41.6253761101,106.131077747},{40.9017913742,105.9992162663},{40.785575865,105.7144897388},{40.4621276756,104.7254346392}"
4,Khondalite Belt,UnclassifiedFeature,601,"{37.698879442,102.625703456},{38.0721307505,102.872737456},{38.9798517709,104.6209396571},{40.475691099,107.6760535997},{40.7540697833,108.7287778641},{40.9256237376,109.7991156769},{40.9148914803,110.7824529369},{41.1253567736,111.5752797793},{41.2069988988,112.2206061275},{41.2462013188,112.8152519009},{41.2423550346,113.5423966838},{41.0647229998,115.0607504841},{40.7504392431,114.5987777232},{40.1759454588,113.4529972931},{39.8864225904,113.0444566038},{39.8458848644,110.1748801035},{39.7760517539,109.53231476},{39.5101969333,108.546005469},{38.9224281991,107.4954939936},{38.435990876,106.6548988373},{38.0315303718,105.8677295211},{37.8343363288,105.5064694645},{36.956679033,104.781552869},{37.159503539,103.883198061},{37.358993274,103.23611127},{37.546277489,102.972526077},{37.698879442,102.625703456}"
5,Alxa,UnclassifiedFeature,451,"{38.9798517709,104.6209396571},{38.0721307505,102.872737456},{37.698879442,102.625703456},{38.108377546,101.542788496},{38.420270494,100.621068707},{38.843394092,100.184072204},{38.947440878,99.851122488},{39.044551212,99.608346653},{39.391373833,98.928574316},{39.634149668,98.221056169},{39.7618198073,97.6776396776},{39.8752253717,97.6696317304},{40.0263993712,97.6791426541},{40.2020924918,99.1545021183},{40.2049166494,99.9068052142},{40.1236455493,100.5334092497},{39.9981210846,101.4924801066},{40.0402076582,102.4170342327},{40.1789701727,103.4018763022},{40.4621276756,104.7254346392},{40.785575865,105.7144897388},{40.9017913742,105.9992162663},{40.3388120178,105.9027055195},{39.5988962922,105.371896412},{38.9798517709,104.6209396571}"
6,Meso-Neoproterozoic passive margins,UnclassifiedFeature,401,"{73.260925293,94.078308105},{73.318908691,95.481323242},{73.463928223,95.936706543},{73.96887207,96.66027832},{74.003112793,97.194885254},{74.151306152,98.014526367},{74.187683105,98.890319824},{74.25567627,99.465698242},{74.520874023,100.098327637},{74.594299316,101.129516602},{74.577514648,101.315490723},{74.59588623,102.121520996},{74.670075599,102.778689839},{74.716674805,103.191894531},{74.788085937,104.102294922},{74.835693359,104.344726562},{74.85851011,104.267171006},{74.899291992,104.128295898},{74.940124512,103.821716309},{75.077880859,103.826721191},{75.148071289,104.162475586},{75.124511719,104.881103516},{75.047912598,105.244873047},{74.956097817,105.330303016},{74.93347168,105.351318359},{74.856079102,105.467895508},{74.907470703,105.850524902},{75.030035349,106.438488019},{75.094909668,106.75012207},{75.136291504,107.460510254},{74.962890625,109.05871582},{74.988899028,109.438720195},{75.004272461,109.663085937},{74.989087733,110.013324867},{74.954528809,110.811706543},{74.903930664,111.030090332},{74.80267334,112.174499512},{73.9916,112.8309},{73.570706557,115.366442291},{73.369738381,116.70543317},{72.80555677,120.030294976},{72.717399429,120.999298107},{72.734852086,121.981819564},{72.821950249,122.116135557},{72.561893152,123.290305365},{72.416755901,125.044846423},{72.165160758,126.761488164},{71.174802443,127.520629162},{69.970210892,126.877401325},{69.489558342,126.355004043},{68.859049872,126.40954169},{67.19297598,126.065572338},{66.423803278,125.619328043},{65.854412852,126.022047537},{65.639440722,126.021615994},{65.310781631,126.416103285},{64.96987614,126.264200329},{64.569082489,126.185532599},{64.472290039,124.112121582},{64.735473633,123.780273437},{65.348693848,123.395080566},{65.867126465,122.913513184},{66.520324707,122.274291992},{66.52138042,122.273817155},{66.946289062,122.082702637},{66.959716797,122.061279297},{67.376281738,121.85369873},{67.753112793,121.923522949},{68.763916016,122.125915527},{69.203674316,122.419921875},{69.841308594,123.163879395},{70.32232666,123.941711426},{70.499694824,124.586303711},{70.897521973,125.163085937},{71.479492187,125.354919434},{71.681091309,124.975708008},{71.90032959,124.192077637},{71.932312012,123.453491211},{71.950683594,122.273925781},{72.041870117,121.437683105},{72.293884277,119.820495605},{72.472290039,118.002075195},{72.844726562,116.977905273},{72.958129883,116.292114258},{72.951991697,115.551288205},{72.951991697,115.551288205},{72.949279785,113.659118652},{72.952697754,112.195495605},{72.66192627,110.086730957},{72.563720703,107.90411377},{72.480040451,106.637012598},{72.453674316,106.297729492},{72.346057767,105.744079968},{72.03145177,104.16163397},{71.965168226,103.828232414},{71.938476562,103.843078613},{71.605285645,102.830688477},{71.002886846,101.475100733},{70.914672852,101.276672363},{70.632085681,99.511381963},{70.5546875,97.371887207},{70.56072998,94.666503906},{70.653930664,93.3125},{70.502685547,90.86907959},{70.238891602,89.240478516},{70.106323242,88.146118164},{69.879272461,87.132324219},{69.596679687,86.61328125},{69.451105394,86.633872555},{69.436623805,86.156830841},{69.528076172,86.025085449},{69.735717773,85.603881836},{69.8191045447,85.3915470761},{69.786315918,84.797912598},{69.692799167,84.6127915893},{69.634094238,84.507507324},{69.72668457,84.069274902},{69.855529785,83.774475098},{70.066101074,83.370300293},{70.099487305,83.163879395},{70.204101562,82.957092285},{70.287719727,82.967102051},{70.320678711,83.36907959},{70.431518555,83.701721191},{70.543273926,83.759277344},{71.004882812,83.373718262},{71.109924316,83.157470703},{71.265319824,83.16809082},{71.2897703928,83.209014992},{71.609924316,83.744873047},{71.790527344,83.484924316},{71.876281738,83.327880859},{71.938720703,82.614074707},{72.136474609,82.267700195},{72.251891702,82.308900012},{72.312927246,82.330688477},{72.457092285,82.937683105},{72.551843338,83.848331438},{72.62310791,84.533874512},{72.720865795,85.175112979},{72.781494141,85.572875977},{72.983520508,86.409118652},{73.085693359,87.358703613},{73.090087891,87.759094238},{73.014099121,88.154296875},{72.992492676,88.592285156},{73.220823305,89.456315452},{73.237670898,89.520324707},{73.305480957,90.159484863},{73.293884277,91.485717773},{73.221496582,91.787475586},{73.26348877,92.525878906},{73.260925293,94.078308105}"
7,Hapschan Belt,ClosedContinentalBoundary,401,"{66.960819806,122.057552844},{67.868530273,118.990905762},{68.036229847,117.495290153},{68.220092773,116.649108887},{68.710083008,114.932678223},{68.843078613,114.551513672},{69.053894043,113.967102051},{69.213684082,113.827880859},{69.35168457,113.771118164},{69.497924805,113.465270996},{69.61730957,113.04510498},{69.632080078,112.700927734},{69.652282715,112.596679687},{69.767272949,112.369506836},{70.018310547,112.07232666},{70.19708252,111.92590332},{70.511474609,111.177124023},{70.772277832,110.704101562},{71.264526367,110.032470703},{71.373901367,109.951904297},{71.425476074,109.645324707},{72.11730957,107.723876953},{72.480040451,106.637012598},{72.563720703,107.90411377},{72.66192627,110.086730957},{72.952697754,112.195495605},{72.949279785,113.659118652},{72.951991697,115.551288205},{72.274291992,115.920715332},{71.60748291,116.318115234},{71.118286133,116.405273437},{70.691711426,115.907470703},{70.223693848,115.772705078},{69.968078613,116.159301758},{69.086120605,116.65612793},{68.828918457,117.013122559},{68.541870117,117.995483398},{68.261474609,119.270080566},{68.222717285,119.996887207},{68.099487305,120.805480957},{67.753112793,121.923522949},{67.376281738,121.85369873},{66.959716797,122.061279297},{66.960819806,122.057552844}"
8,Central Aldan,UnclassifiedFeature,401,"{61.824279785,119.909912109},{62.24810791,120.952270508},{62.667297363,122.033874512},{63.335510254,124.196899414},{63.475524902,126.504699707},{62.399475098,125.707092285},{61.687316895,125.566894531},{60.639709473,126.380493164},{59.709472656,127.499694824},{58.837524414,127.071289062},{58.444732295,127.561906854},{58.435119629,127.573913574},{58.431864007,127.587176059},{58.41607666,127.651489258},{58.358703613,127.72668457},{58.310108157,127.767981884},{58.264892578,127.817687988},{57.78729248,128.212280273},{57.542480469,128.391296387},{57.055480957,128.574890137},{56.432678223,129.105712891},{56.211914062,129.611877441},{56.277526855,126.675476074},{56.064697266,126.417480469},{55.939086914,126.022094727},{55.958496094,125.966674805},{55.992675781,125.942871094},{56.108886719,125.94152832},{56.137878418,125.919677734},{56.193908691,125.678894043},{56.204855456,125.654576577},{56.470108966,125.065314906},{56.681518555,124.595703125},{56.967102051,122.811096191},{56.966324265,122.422302215},{56.914123535,121.90612793},{56.915435728,121.886463522},{56.913513184,121.84967041},{56.924752788,121.746838843},{56.927124023,121.711303711},{56.964294434,121.385070801},{57.431091309,120.705322266},{58.741699219,121.248901367},{59.740905762,121.368103027},{60.729309082,121.039672852},{61.475708008,120.325927734},{61.824279785,119.909912109}"
9,Anabar Shield,UnclassifiedFeature,401,"{72.346057767,105.744079968},{72.453674316,106.297729492},{72.480040451,106.637012598},{72.11730957,107.723876953},{71.425476074,109.645324707},{71.373901367,109.951904297},{71.264526367,110.032470703},{70.772277832,110.704101562},{70.511474609,111.177124023},{70.19708252,111.92590332},{70.018310547,112.07232666},{69.767272949,112.369506836},{69.652282715,112.596679687},{69.632080078,112.700927734},{69.61730957,113.04510498},{69.497924805,113.465270996},{69.35168457,113.771118164},{69.213684082,113.827880859},{69.053894043,113.967102051},{68.843078613,114.551513672},{68.710083008,114.932678223},{68.220092773,116.649108887},{68.036229847,117.495290153},{67.868530273,118.990905762},{66.960819806,122.057552844},{66.959716797,122.061279297},{66.946289062,122.082702637},{66.52138042,122.273817155},{66.520324707,122.274291992},{65.867126465,122.913513184},{65.348693848,123.395080566},{64.735473633,123.780273437},{64.472290039,124.112121582},{64.359680176,124.30847168},{64.341910132,123.838930005},{64.34072394,123.833108548},{64.090698242,122.596496582},{64.020992839,122.276017628},{63.485473633,119.813903809},{62.979940014,118.546889883},{62.851796764,118.22572572},{62.789969213,118.07283772},{61.896484375,116.853088379},{61.321293271,116.357477993},{61.320157817,116.356815292},{61.234331613,116.306723327},{61.214111328,116.294921875},{61.176111218,116.216769056},{60.633148538,115.100086405},{60.630126953,115.09387207},{60.390998348,114.716448679},{60.288912973,114.554666311},{61.164679236,114.360392876},{61.249865001,114.34143379},{61.346923828,114.319702148},{61.520324707,114.315917969},{62.317871094,114.106872559},{63.681274414,112.863708496},{64.590087891,111.552124023},{65.306518555,110.077087402},{66.016906738,108.737487793},{67.426879883,108.25592041},{67.89050293,108.005493164},{68.870652873,107.609434312},{69.32409668,107.159729004},{69.617675781,106.89630127},{69.738794276,106.764980408},{69.85369873,106.609313965},{69.979309082,106.487487793},{70.108886719,106.447692871},{70.532287598,106.209716797},{70.794032821,106.038267646},{70.871704102,105.975708008},{71.419921875,105.628295898},{71.801879883,105.003723145},{72.03145177,104.16163397},{72.346057767,105.744079968}"
