,sourceFile,name,boundaryType,validTime,leftPlateId,rightPlateId,reconstructionPlateId,points
0,1000-410-Convergence_Merdith_etal.gpml,WNAM Transform,SubductionZone,"{'beginMa': 430.0, 'endMa': 410.1}",,,101,"[{'lat': 28.2165409208, 'lon': -116.2425975602}, {'lat': 29.4703818057, 'lon': -118.8205229781}, {'lat': 32.0221762845, 'lon': -124.002554673}, {'lat': 36.9019458385, 'lon': -127.2959194562}, {'lat': 41.5115688103, 'lon': -129.1694219063}, {'lat': 47.9860063308, 'lon': -131.0937289065}, {'lat': 58.7199800118, 'lon': -146.4678787464}, {'lat': 63.6779960833, 'lon': -160.1045069133}, {'lat': 69.2144934808, 'lon': -172.8518333418}, {'lat': 75.6063183681, 'lon': 173.3744544715}]"
1,1000-410-Convergence_Merdith_etal.gpml,Tarim transform,SubductionZone,"{'beginMa': 470.0, 'endMa': 440.1}",,,580,"[{'lat': 52.3663326563, 'lon': 164.7524142282}, {'lat': 52.4347012218, 'lon': 155.2386145455}, {'lat': 50.2652355631, 'lon': 143.3970397898}, {'lat': 44.242063261, 'lon': 128.7423498872}, {'lat': 38.1358191899, 'lon': 117.309737094}, {'lat': 34.3145237347, 'lon': 108.2882619071}, {'lat': 31.3965445217, 'lon': 103.9356068914}, {'lat': 27.8409870586, 'lon': 100.4021378653}, {'lat': 24.3272832464, 'lon': 98.5985388713}, {'lat': 19.1230825194, 'lon': 96.4646080218}]"
2,1000-410-Convergence_Merdith_etal.gpml,outboard early Arctic(?) sub zone,SubductionZone,"{'beginMa': 440.0, 'endMa': 430.1}",,,302,"[{'lat': 68.1763809352, 'lon': -152.6048718143}, {'lat': 74.4361988563, 'lon': 177.8087067685}, {'lat': 73.0552620958, 'lon': 140.0413515062}, {'lat': 68.6834482799, 'lon': 119.0602802175}, {'lat': 64.632796777, 'lon': 103.8720835602}, {'lat': 60.1206686986, 'lon': 90.6912961262}, {'lat': 53.3019525274, 'lon': 75.4967711565}, {'lat': 48.8047502457, 'lon': 66.5062242234}]"
3,1000-410-Convergence_Merdith_etal.gpml,baltica SZ,SubductionZone,"{'beginMa': 540.0, 'endMa': 520.1}",,,302,"[{'lat': 47.4451447947, 'lon': 83.7252190929}, {'lat': 43.6073336422, 'lon': 70.979980716}, {'lat': 36.5068512616, 'lon': 51.0700221784}, {'lat': 28.5609246676, 'lon': 32.3862988441}, {'lat': 17.8682655238, 'lon': 15.2668587165}, {'lat': 16.4154951758, 'lon': 12.8002104638}, {'lat': 14.7566890307, 'lon': 9.6419121509}, {'lat': 14.3033195647, 'lon': 8.2653002653}]"
4,1000-410-Convergence_Merdith_etal.gpml,Siberia-Chingiz inferred O-O SZ,SubductionZone,"{'beginMa': 480.0, 'endMa': 475.1}",,,401,"[{'lat': 48.0131590941, 'lon': 68.9260367406}, {'lat': 50.6301340759, 'lon': 63.2127876951}, {'lat': 51.3880411497, 'lon': 59.5739688384}, {'lat': 51.9203142035, 'lon': 53.1729045598}, {'lat': 51.5825547274, 'lon': 48.3788132003}, {'lat': 51.3236771513, 'lon': 47.0062790949}, {'lat': 51.0245381936, 'lon': 41.8968943261}]"
5,1000-410-Convergence_Merdith_etal.gpml,Kara-Palaeo asian ocean SZ (was transform),SubductionZone,"{'beginMa': 490.0, 'endMa': 480.1}",,,404,"[{'lat': 69.0903470772, 'lon': 81.1870129636}, {'lat': 69.6246266943, 'lon': 85.8790162742}, {'lat': 70.2710479498, 'lon': 95.430666046}, {'lat': 70.6835162312, 'lon': 103.3537588685}, {'lat': 71.2703313091, 'lon': 111.5136708521}, {'lat': 71.3485117853, 'lon': 116.1093189786}]"
6,1000-410-Convergence_Merdith_etal.gpml,Kara-Palaeo asian ocean SZ (was transform),SubductionZone,"{'beginMa': 490.0, 'endMa': 480.1}",,,404,"[{'lat': 71.0578805336, 'lon': 107.32790233}, {'lat': 71.2703313091, 'lon': 111.5136708521}, {'lat': 71.4794217122, 'lon': 118.8756846511}, {'lat': 71.840067125, 'lon': 137.1999416991}, {'lat': 71.9471170754, 'lon': 148.6464600556}, {'lat': 71.6931471713, 'lon': 159.8591919904}]"
7,1000-410-Convergence_Merdith_etal.gpml,Siberia O-O SZ,SubductionZone,"{'beginMa': 490.0, 'endMa': 480.1}",,,401,"[{'lat': 45.3125365664, 'lon': 77.3756871545}, {'lat': 51.6773572097, 'lon': 73.0597591443}, {'lat': 55.4482299128, 'lon': 64.1701678836}, {'lat': 56.5147199783, 'lon': 56.2691365452}, {'lat': 55.9313876009, 'lon': 50.7080680442}]"
8,1000-410-Convergence_Merdith_etal.gpml,Subzone consuming palaeo-asian ocean,SubductionZone,"{'beginMa': 420.0, 'endMa': 410.1}",,,401,"[{'lat': 80.928857455, 'lon': 68.2010525491}, {'lat': 75.2429812201, 'lon': 58.6854649983}, {'lat': 68.2172233813, 'lon': 57.9530122009}, {'lat': 61.6694732071, 'lon': 55.4710085541}, {'lat': 58.7529886135, 'lon': 58.5907419719}, {'lat': 56.0847276945, 'lon': 63.2895548124}, {'lat': 52.8831158182, 'lon': 69.2562232821}, {'lat': 49.7833345841, 'lon': 74.0329643453}, {'lat': 45.7293379172, 'lon': 78.2023096666}]"
9,1000-410-Convergence_Merdith_etal.gpml,"Siberia SZ, to accommodate motion",SubductionZone,"{'beginMa': 430.0, 'endMa': 410.1}",,,4100,"[{'lat': 47.0189916887, 'lon': 92.2340361517}, {'lat': 44.3950238003, 'lon': 99.3608806114}, {'lat': 43.1149252479, 'lon': 102.4376271503}, {'lat': 39.7465745996, 'lon': 106.120083359}]"
