,"name","boundaryType","validTime","leftPlateId","rightPlateId","reconstructionPlateId","points"
0,"WNAM Transform","SubductionZone","{'beginMa': 430.0, 'endMa': 410.1}",,,101,"{28.2165409208,-116.2425975602},{29.4703818057,-118.8205229781},{32.0221762845,-124.002554673},{36.9019458385,-127.2959194562},{41.5115688103,-129.1694219063},{47.9860063308,-131.0937289065},{58.7199800118,-146.4678787464},{63.6779960833,-160.1045069133},{69.2144934808,-172.8518333418},{75.6063183681,173.3744544715}"
1,"Tarim transform","SubductionZone","{'beginMa': 470.0, 'endMa': 440.1}",,,580,"{52.3663326563,164.7524142282},{52.4347012218,155.2386145455},{50.2652355631,143.3970397898},{44.242063261,128.7423498872},{38.1358191899,117.309737094},{34.3145237347,108.2882619071},{31.3965445217,103.9356068914},{27.8409870586,100.4021378653},{24.3272832464,98.5985388713},{19.1230825194,96.4646080218}"
2,"outboard early Arctic(?) sub zone","SubductionZone","{'beginMa': 440.0, 'endMa': 430.1}",,,302,"{68.1763809352,-152.6048718143},{74.4361988563,177.8087067685},{73.0552620958,140.0413515062},{68.6834482799,119.0602802175},{64.632796777,103.8720835602},{60.1206686986,90.6912961262},{53.3019525274,75.4967711565},{48.8047502457,66.5062242234}"
3,"baltica SZ","SubductionZone","{'beginMa': 540.0, 'endMa': 520.1}",,,302,"{47.4451447947,83.7252190929},{43.6073336422,70.979980716},{36.5068512616,51.0700221784},{28.5609246676,32.3862988441},{17.8682655238,15.2668587165},{16.4154951758,12.8002104638},{14.7566890307,9.6419121509},{14.3033195647,8.2653002653}"
4,"Siberia-Chingiz inferred O-O SZ","SubductionZone","{'beginMa': 480.0, 'endMa': 475.1}",,,401,"{48.0131590941,68.9260367406},{50.6301340759,63.2127876951},{51.3880411497,59.5739688384},{51.9203142035,53.1729045598},{51.5825547274,48.3788132003},{51.3236771513,47.0062790949},{51.0245381936,41.8968943261}"
5,"Kara-Palaeo asian ocean SZ (was transform)","SubductionZone","{'beginMa': 490.0, 'endMa': 480.1}",,,404,"{69.0903470772,81.1870129636},{69.6246266943,85.8790162742},{70.2710479498,95.430666046},{70.6835162312,103.3537588685},{71.2703313091,111.5136708521},{71.3485117853,116.1093189786}"
6,"Kara-Palaeo asian ocean SZ (was transform)","SubductionZone","{'beginMa': 490.0, 'endMa': 480.1}",,,404,"{71.0578805336,107.32790233},{71.2703313091,111.5136708521},{71.4794217122,118.8756846511},{71.840067125,137.1999416991},{71.9471170754,148.6464600556},{71.6931471713,159.8591919904}"
7,"Siberia O-O SZ","SubductionZone","{'beginMa': 490.0, 'endMa': 480.1}",,,401,"{45.3125365664,77.3756871545},{51.6773572097,73.0597591443},{55.4482299128,64.1701678836},{56.5147199783,56.2691365452},{55.9313876009,50.7080680442}"
8,"Subzone consuming palaeo-asian ocean","SubductionZone","{'beginMa': 420.0, 'endMa': 410.1}",,,401,"{80.928857455,68.2010525491},{75.2429812201,58.6854649983},{68.2172233813,57.9530122009},{61.6694732071,55.4710085541},{58.7529886135,58.5907419719},{56.0847276945,63.2895548124},{52.8831158182,69.2562232821},{49.7833345841,74.0329643453},{45.7293379172,78.2023096666}"
9,"Siberia SZ, to accommodate motion","SubductionZone","{'beginMa': 430.0, 'endMa': 410.1}",,,4100,"{47.0189916887,92.2340361517},{44.3950238003,99.3608806114},{43.1149252479,102.4376271503},{39.7465745996,106.120083359}"
10,"Iskel arc","SubductionZone","{'beginMa': 930.0, 'endMa': 870.1}",,,77145,"{37.3228729209,1.6314203743},{33.2036403662,-0.0664534106},{28.9743408452,-0.0683365506},{26.5396677933,1.226116343},{25.2805265771,2.3943756577},{24.3093014662,3.5178109459},{21.5276028524,3.6628910182},{19.7648934671,3.6179570026},{17.1857582887,3.9783777787},{12.7018330983,2.3377503631},{8.7595273399,-0.0071243836}"
11,"SZ outboard of Laurentia","SubductionZone","{'beginMa': 470.0, 'endMa': 430.1}",,,101,"{4.6256695155,-113.4612998408},{8.700100053,-116.2595293857},{12.0630827561,-118.887110391},{16.4862095324,-121.7606762525},{31.0359728507,-130.2476274124},{46.4347491817,-137.1885033539},{60.8382893288,-148.7828319299},{73.9499485861,-165.1715642948},{84.1779898276,174.2430051498},{81.6209124935,57.9599950244},{78.5292481975,59.2820924187},{72.9682760349,63.7603402992},{68.6355450014,67.8623741576}"
12,"Ocean arc outboard of Laurentia","SubductionZone","{'beginMa': 500.0, 'endMa': 470.1}",,,101,"{11.8406615178,-118.5562117456},{16.4862095324,-121.7606762525},{31.0359728507,-130.2476274124},{46.4347491817,-137.1885033539},{60.8382893288,-148.7828319299},{73.9499485861,-165.1715642948},{84.1779898276,174.2430051498},{84.8205698476,132.2568826115},{81.452194054,106.0056327998},{78.3558090532,104.0529415815},{65.7443849736,101.3171144522}"
13,"Ocean-Ocean convergence baltica","SubductionZone","{'beginMa': 560.0, 'endMa': 540.1}",,,302,"{36.5456274379,63.0052765336},{33.8758992918,53.754765423},{25.7917720644,28.9439962548},{18.534475942,9.8879853611},{15.1060188673,1.9775905614},{8.9424949004,-14.7798589313},{5.3051995214,-30.7972781884},{4.24253794,-37.9702990816}"
14,"Ocean-ocean sub zone outboard baltica","SubductionZone","{'beginMa': 570.0, 'endMa': 560.1}",,,302,"{28.1680256917,68.5940058597},{34.2811967897,53.7434570388},{34.7770253605,30.8338042965},{22.4112601511,14.1995226098},{8.5843295502,8.5548068172}"
15,"Ocean-ocean sub zone outboard baltica","SubductionZone","{'beginMa': 575.0, 'endMa': 570.1}",,,302,"{35.3473159735,104.8960282945},{37.8365751819,79.7385924652},{37.6926550299,62.0977237082},{36.1036050334,45.8278632807},{34.0597584291,30.3079880186},{31.0748681334,16.9952703603},{28.0830656543,2.6614996315},{27.8308492507,1.2458156149}"
16,"Sub zone closing Cadomia plate","SubductionZone","{'beginMa': 570.0, 'endMa': 550.1}",,,714,"{55.8156991374,11.629746375},{51.0659991691,13.3150853165},{45.915864366,15.1602167754},{36.3195590443,18.2934192135}"
17,"outboard SZ off Laurentia","SubductionZone","{'beginMa': 600.0, 'endMa': 590.1}",,,101,"{5.8067512746,-96.611879295},{7.7416731614,-104.5133073493},{14.2892518553,-113.7698769721},{26.8806381312,-125.2669874618},{39.3916297561,-133.9057744973},{49.5508812954,-146.5821062524},{57.9673717175,-160.3505973511},{62.3021738137,-174.7197233069},{67.9347453299,158.2016885948}"
18,"Famatina subduction zone","SubductionZone","{'beginMa': 470.0, 'endMa': 450.1}",,,201,"{-3.5466180814,-78.8307023001},{-5.0643414762,-78.2407611117},{-6.5140113615,-76.960015361},{-8.0999499352,-76.5026282792},{-10.7245126648,-74.7650832875},{-12.5054876663,-73.5242595503},{-14.6931274708,-70.3821883105},{-16.7905271495,-69.6937165956},{-19.6510151876,-69.9042536902},{-23.4769262763,-69.4669129376},{-26.6027511867,-68.4614543133},{-32.4105805909,-68.0680223706},{-36.7889226037,-67.1113388761},{-39.6586970226,-65.7021099625},{-43.3034790869,-63.5309431962},{-46.3710735673,-63.2172995035},{-48.4809855752,-61.4844283721},{-53.7601444976,-51.7691777049}"
19,"Mozambique ocean transform","SubductionZone","{'beginMa': 650.0, 'endMa': 600.1}",,,80251,"{-35.6435096138,47.7350517798},{-38.3549987009,50.6233241093},{-46.5407305196,55.9249418082},{-52.2061167259,58.0848036566},{-64.3630906116,58.2571170949},{-71.9954575649,59.1082952011},{-78.0484000457,67.1104595916}"
20,"WAC-SM sub zone","SubductionZone","{'beginMa': 700.0, 'endMa': 650.1}",,,714,"{30.4846546064,32.6434789226},{31.4024074076,30.2631142727},{32.1059901287,28.2402632629},{33.2607891113,26.1948774065},{34.2705341693,24.1972102329},{35.7224325455,21.5183267459},{38.5598394639,17.2058159558},{42.4288759934,13.3433618365},{46.4601125048,10.7598912709},{49.9479101621,8.3892044603},{56.73822327,-1.2736402230000001},{57.1894951509,-4.6202094252},{59.1404546916,-10.1812169146}"
21,"Laurentian subduction zone","SubductionZone","{'beginMa': 440.0, 'endMa': 430.1}",,,101,"{74.9233850554,-30.8168509853},{73.9377320345,-28.6280977546},{72.3833738452,-28.2056185322},{70.2367774529,-28.8222189982},{67.9116214342,-30.24699607},{66.3786709348,-31.5228440454},{64.6140689625,-33.1487727419},{62.8145740005,-33.2044248745},{61.0462972342,-32.8776608046},{58.5866446487,-32.3828365782},{56.8588658528,-33.9942614621},{54.0742060011,-38.5041186622},{51.8914815588,-42.4706589471},{51.3498613197,-46.4470463619},{50.3402590402,-51.1760324904},{49.5690120046,-54.6080989449},{47.7885949115,-58.0554862074},{47.5345381799,-62.0983595131},{48.140104909,-64.8191038289},{48.0089982324,-66.6794599375},{45.835393151,-69.404425767},{44.3542370854,-71.5772763715},{41.5056454992,-72.3346415166},{40.5745288421,-72.755092487},{38.7627946623,-76.2885940195},{36.8031034642,-77.6931725699},{35.1723442262,-78.8877374198},{33.7557266978,-81.0840927943},{32.5506231987,-83.6934372299},{31.5803321039,-85.1715674833},{30.7515601575,-85.7402582818}"
22,"Popelogan-Victoria subduction zone","SubductionZone","{'beginMa': 460.0, 'endMa': 455.1}",,,1007,"{-24.2432210076,174.4834118884},{-25.7676651452,-174.0224367121},{-25.466654492700002,-168.9566855599},{-24.8732832293,-165.3613061404},{-24.2765084185,-160.6913979393},{-24.6371331762,-154.4290010074},{-26.3716625774,-148.321186614},{-29.1499212202,-142.6158194197},{-32.2107724999,-138.0991129017},{-34.6717726911,-133.5918467403},{-37.8701524013,-128.9093121759},{-39.4944056178,-126.1576657726}"
23,"Lushs Bight oceanic tract (Taconic seaway subduction zone)","SubductionZone","{'beginMa': 500.0, 'endMa': 490.1}",,,101,"{28.698896393200002,-77.1573115495},{31.8505230222,-75.0057317121},{35.6692256453,-71.6471851535},{40.3501242509,-65.7473658832},{42.8162351522,-61.6156567893},{45.7290983203,-56.0289418248},{48.3687353498,-49.2554612159},{50.2217570269,-42.9165033947},{51.4245546624,-37.7997933493},{52.3397884232,-32.6250525278}"
24,"East Avalonia subduction zone (Tornquist subduction)","SubductionZone","{'beginMa': 470.0, 'endMa': 460.1}",,,315,"{59.7884685542,7.8071940925},{59.212170208,11.3960379087},{58.7596208256,14.4863416521},{57.5719522046,20.8353649505},{55.7886599418,27.429298023},{54.5479776251,32.3448707834}"
25,"Penobscot arc","SubductionZone","{'beginMa': 500.0, 'endMa': 480.1}",,,1018,"{-38.2559088474,125.6525889334},{-42.3092730441,133.7677518788},{-47.3970260298,143.2957186067},{-50.2933401026,148.1189999663},{-54.2101558486,153.9877702086},{-59.9897805386,163.9102501731},{-65.7813492941,175.2345691927}"
26,"Popelogan-Victoria subduction zone","SubductionZone","{'beginMa': 455.0, 'endMa': 450.1}",,,1007,"{-22.7623828323,-156.4573633572},{-24.3074336111,-153.5582930747},{-26.5002072931,-148.1039162732},{-27.7620750879,-143.4575763551},{-29.1674872819,-139.2231497711},{-30.6699448243,-135.9460304828},{-32.4212712202,-132.5445197888},{-34.7324443145,-129.7176223357},{-36.5222342559,-128.5991794144}"
27,"Popelogan-Victoria subduction zone","SubductionZone","{'beginMa': 480.0, 'endMa': 475.1}",,,184,"{7.6353802443,-88.4581837094},{8.9846279253,-89.3595226583},{13.9057519677,-90.6250863829},{20.4949298832,-92.2014778818},{30.5573694459,-92.766484498},{38.586024987100004,-88.3304788808},{45.4686695282,-81.6185446236},{50.956161001,-71.4493255254}"
28,"Penobscot subduction zone","SubductionZone","{'beginMa': 500.0, 'endMa': 485.1}",,,184,"{20.3417569227,-96.7963615631},{24.6715370088,-95.3219330381},{29.5193895015,-93.4861132662},{36.770915854,-88.2384788786},{42.7267403079,-81.815145989},{49.6294135381,-69.9020313453}"
29,"Penobscot subduction zone","SubductionZone","{'beginMa': 485.0, 'endMa': 480.1}",,,184,"{19.224019245,-96.9721615954},{24.3742818964,-95.3839286615},{29.3274570127,-93.4093014028},{36.7248378567,-89.884119005},{43.4816254185,-84.3214701454},{44.61026466,-83.1481285416},{45.8755876543,-81.2820191737},{48.0197320567,-75.527030312}"
30,"Laurentian subduction zone","SubductionZone","{'beginMa': 490.0, 'endMa': 480.1}",,,101,"{27.1428495663,-77.6557764858},{25.0797647072,-78.4466594308},{22.9005939306,-79.3602978476},{21.2036344401,-80.3365157112},{19.4102277153,-81.5400534763},{17.8669478954,-82.666952362}"
31,"Popelogan-Victoria subduction zone","SubductionZone","{'beginMa': 475.0, 'endMa': 470.1}",,,1007,"{-23.9587201908,-167.9177458882},{-23.0464957111,-164.7475542654},{-22.6578962223,-160.4145961108},{-23.1984474707,-154.861399013},{-24.7197752156,-148.1267687594},{-26.0634189515,-145.3069003349},{-27.5660470671,-143.0154956878},{-30.0457179038,-140.0311834556}"
32,"Popelogan-Victoria subduction zone","SubductionZone","{'beginMa': 470.0, 'endMa': 465.1}",,,1007,"{-26.0922309436,-172.5357210674},{-25.5795614873,-167.5243344426},{-24.2765084185,-160.6913979393},{-24.6371331762,-154.4290010074},{-26.3716625773,-148.321186614},{-29.1499212202,-142.6158194197},{-32.2107724999,-138.0991129017},{-34.0103462341,-134.9469435791}"
33,"Popelogan-Victoria subduction zone","SubductionZone","{'beginMa': 465.0, 'endMa': 460.1}",,,1007,"{-28.0864760137,178.9428322009},{-26.908270623900002,-176.7156761734},{-26.6995449602,-174.4431900296},{-25.7887469176,-167.6435812212},{-24.2765084185,-160.6913979393},{-24.6371331762,-154.4290010074},{-26.3716625774,-148.321186614},{-29.1499212202,-142.6158194197},{-32.2107724999,-138.0991129017},{-34.6717726911,-133.5918467403},{-37.1908636762,-127.8344180952},{-37.8431955922,-126.187534581}"
34,"Popelogan-Victoria subduction zone","SubductionZone","{'beginMa': 450.0, 'endMa': 440.1}",,,1007,"{-25.1491336507,-151.5616181875},{-26.8733983086,-147.7607412468},{-28.8422879851,-142.7391191783},{-29.8481603791,-138.3174583168},{-30.2895916932,-135.2781654606},{-29.806428223,-132.9163745819},{-28.3261005456,-129.6013809189}"
35,"Penobscot arc","SubductionZone","{'beginMa': 480.0, 'endMa': 475.1}",,,1018,"{-43.6153043799,138.6122060392},{-45.1251357942,141.7761563325},{-48.393100869,147.63521321},{-51.3358303252,152.2252339744},{-54.205921411,155.1856399722}"
36,"Laurentian subduction zone","SubductionZone","{'beginMa': 470.0, 'endMa': 465.1}",,,101,"{82.5864875853,114.3026090352},{86.6838981041,78.1374440553},{87.0124356092,26.9088854201},{83.5573412808,0.6430593215},{80.2537068682,-4.6417125768},{76.638171592,-11.8062856116},{74.4200848292,-15.4361575068},{71.8003198321,-21.7694107891},{69.589402247,-27.3197111016},{66.8754981844,-31.6643069999},{62.7449227635,-34.3910212275},{59.1378853841,-33.0961369214},{57.5821414197,-32.6558407937},{56.4672876145,-34.0836780668},{53.5664020006,-38.9144979457},{52.4918988518,-42.1411329313},{52.2187671601,-44.9357517247},{51.226669964,-47.932323527},{50.418016604,-51.7026363519},{49.4070780904,-55.610251408},{47.6003639501,-58.8060444775},{46.7658907794,-63.3304126282},{45.544774246,-66.3608642313},{43.3998341091,-69.5936893202},{41.5505948822,-71.7465482872},{39.2316751645,-75.2274041089},{37.3854029609,-78.4151397475},{34.9039651185,-81.4369279782},{32.716096018100004,-85.1007333312},{31.4890907694,-88.5836228447}"
37,"Early Famatinian subduction zone?","SubductionZone","{'beginMa': 490.0, 'endMa': 480.1}",,,701,"{-36.1034564997,32.6604996599},{-39.7708540432,24.2238451569},{-41.5991327666,14.6917969996},{-42.1283063807,11.8895143762},{-42.6120067317,8.1976140062},{-41.7640485271,5.0888986265},{-40.080750452,3.2292102578},{-37.6786281944,1.014189856},{-34.9053823638,-1.2516633703},{-32.0997369342,-3.9430578068},{-29.1509853588,-7.8121438432}"
38,"Laurentian subduction zone","SubductionZone","{'beginMa': 465.0, 'endMa': 460.1}",,,101,"{82.9266633873,106.5497201859},{86.695388178,65.1986608148},{86.8199058836,19.21456208},{83.7206073384,1.3247444861},{80.0860996229,-4.9816776679},{76.7619288205,-11.7666397154},{74.0506495399,-16.3475476819},{71.6405974872,-22.9011570495},{69.211976444,-28.2745799301},{66.6485250519,-31.5603545828},{64.0761108688,-33.6852695441},{62.8281780485,-34.9685492265},{61.0327226913,-34.4175071543},{59.5543961494,-33.5836955562},{58.0578664333,-32.3977076661},{57.201382353,-32.5654009961},{54.4134580075,-37.7535633215},{52.4856717183,-41.5998593663},{51.4729629272,-44.6359582418},{50.8574597874,-47.5051124672},{50.2173867741,-51.747830579},{49.0334670387,-56.3054808972},{47.1247111892,-60.3375558848},{45.8370409682,-63.9716143928},{44.7881697276,-67.126189936},{42.8755506934,-70.4085464916},{40.8488758697,-73.3264073109},{38.9206021934,-76.1170588321},{36.7494448677,-78.8591268083},{35.015569635,-80.8178050764},{33.2474409933,-83.2417463411},{31.7921610404,-86.0642785505}"
39,"Laurussia subduction","SubductionZone","{'beginMa': 430.0, 'endMa': 420.1}",,,101,"{12.230064036,-111.5656425153},{15.0141427045,-108.9342080169},{16.992549025,-106.3743270102},{19.3204378172,-103.0114578446},{21.1160400368,-99.9227492792},{22.9599031347,-96.7104042439},{24.9528984562,-93.876092495},{26.869225737,-91.5561439652},{29.9360247956,-88.9626599603},{31.3243062761,-86.6022775159},{32.4410826762,-83.6205344376},{33.8205258866,-81.018355719},{35.2785484396,-78.8614955777},{37.0856910397,-77.6851456402},{38.9592333315,-76.25006041},{40.3019850451,-74.2536964092},{41.4745651886,-71.8473830441},{42.4339822703,-70.2163690166},{43.3906321821,-67.9465270216},{44.3623165339,-64.842798919},{45.007862123,-62.5476841386},{45.5740076973,-59.9836877807},{46.2630585143,-57.9651188825},{47.0775121534,-55.9035869044},{47.9458801466,-54.1240144056},{49.1847149841,-52.4815190959},{49.9348967128,-51.0972073028}"
40,"East Avalonia subduction zone (Tornquist subduction)","SubductionZone","{'beginMa': 460.0, 'endMa': 455.1}",,,315,"{56.2519108463,-7.0675472103},{56.3502640606,-4.8071959344},{56.6747158725,-0.8543834209000001},{56.4782355154,4.8606132656},{55.9120936369,11.1340298125},{55.3618695455,14.7337284728},{54.4918705923,17.2679083975},{53.4912813552,21.3871550635},{53.4563046062,25.8423650251}"
41,"East Avalonia subduction (Tornquist)","SubductionZone","{'beginMa': 450.0, 'endMa': 445.1}",,,315,"{54.5879244482,-12.5598519535},{55.0793048754,-11.855209491},{56.2429500366,-8.9549161003},{56.466541436,-3.7163143062},{56.6883508924,0.18210949210000002},{56.373673452,5.2317263762},{56.0888840569,9.6948840989},{55.5243608404,13.7035174502},{54.8822894872,15.9642351151},{53.570239028,19.0181799594},{52.5254342587,20.3358192372},{51.3845320821,21.0592991555},{50.5377164077,21.0997056069},{49.4983863861,21.1969841501},{45.5716558981,20.7601541333},{38.3898313056,18.3674997135}"
42,"East Avalonia subduction (Tornquist)","SubductionZone","{'beginMa': 445.0, 'endMa': 440.1}",,,315,"{55.18498247,-14.4965250684},{56.2698711065,-7.0503350846},{56.701369347,1.0055202136},{56.2171029398,7.2196111558},{55.7175967359,12.035257124},{54.8521225755,16.0810467371},{52.7263420755,18.4684957912}"
43,"West-East Avalonia subduction","SubductionZone","{'beginMa': 440.0, 'endMa': 435.1}",,,315,"{47.9095759317,-5.3527504279},{47.71008813,-3.1730998328},{47.746824136,1.0241626271},{47.6136544323,4.7483881979},{47.7470784839,8.7040774041},{47.9562995039,12.4167088806}"
